id,english,japanese,grade
70,reproduce,【他】を再生する；（子）を繁殖させる 【自】繁殖する,6
71,suffer,【自】苦しむ（from）；害を受ける 【他】（苦痛・損害）を受ける,4
72,lack,【名】不足（of） 【他】を欠いている,3
73,however,【副】しかし；どんな...でも；どのように...しても,4
74,nevertheless,【副】それにもかかわらず,6
75,nonetheless,【副】それにもかかわらず,6
76,whenever,【接】...する時はいつも；いつ...しようとも,5
77,wherever,【接】...するところはどこでも；どこに〔へ〕...しようとも,5
78,whatever,【接】...することは何でも；何が〔何を〕...しようとも,5
79,ape,【名】類人猿,6
80,primate,【名】霊長類の動物,6
81,mark,【名】印；標的；記号；点数（≒score） 【他】に印をつける；を示す；を特徴づける,3
82,target,【名】（攻撃の）的；達成目標 【他】をねらう,4
83,skin,【名】皮膚；皮,2
84,tooth,【名】歯（【複】teeth）,1
85,decay,【自】腐る；荒廃する 【名】腐敗；衰退,4
86,area,【名】部分；地域（≒region）；分野（≒field）,2
87,bleed,【自】出血する（from）,4
88,plenty,【名】たくさん（of）,3
89,fresh,【形】新鮮な,2
90,chimpanzee,【名】チンパンジー（省略形はchimp）,6
91,cattle,【名】（集合的に）ウシ,2
92,deer,【名】シカ（【複】deer）,2
93,rat,【名】ネズミ,2
94,sheep,【名】ヒツジ（【複】sheep）,1
95,dolphin,【名】イルカ,4
96,whale,【名】クジラ,3
97,shark,【名】サメ,4
98,dinosaur,【名】恐竜,4
99,drug,【名】薬；麻薬,3
100,abuse,【他】を乱用する；を虐待する 【名】乱用；虐待,6
101,amount,【名】総額；量（of） 【自】総計～に達する（to）；等しい（to）,4
102,sum,【名】金額；（the）合計；（the）要点 【他】を要約する,3
103,mind,【名】精神；頭脳；意見；注意（力）；記憶（力） 【自】【他】嫌がる；気をつける,3
104,definition,【名】定義；限定,4
105,separate,【他】を分ける；を引き離す：を区別する 【形】離れた；別々の,3
106,split,【他】を分ける（into） 【自】分裂する split＞split 【名】分裂；裂け目（in）,4
107,extract,【他】を抽出する；を引き[抜き]出す 【名】抽出物；抜粋（≒essence）,4
108,isolate,【他】を孤立させる；を隔離する（from）,5
109,interval,【名】（時間や空間の）間隔,4
110,usually,【副】たいてい,3
111,unusual,【形】普通でない,3
112,poison,【名】毒（物）,4
113,carefully,【副】注意深く；注意して,2
114,control,【他】を制御する；を支配する 【名】支配（力）；抑制,3
115,discipline,【名】訓練；しつけ；規律 【他】を訓練する；をしつける；を罰する,6
116,punish,【他】を罰する,3
117,penalty,【名】罰（金）,5
118,alcohol,【名】アルコール,4
119,pub,【名】居酒屋,6
120,smoke,【名】煙；喫煙 【自】【他】（タバコを）吸う,3
121,cigarette,【名】（紙）巻きタバコ,4
122,instance,【名】実例；（特定の）場合（≒case）,4
123,instant,【形】即刻の【名】瞬間,4
124,depend,【自】頼る；～次第である（on）,3
125,steal,【他】（物）を（こっそり）盗む 【自】（副詞（句）を伴って）そっと行く stole>stolen,3
126,rob,【他】（人など）から奪い取る（of）,3
127,deprive,【他】（人）から奪う（of）,5
128,strip,【他】を奪う；を取り除く 【名】（紙・土地などの）細長い一片,6
129,thief,【名】泥棒,4
130,theft,【名】窃盗（罪）,5
131,murder,【名】殺人（事件）,4
132,suicide,【名】自殺,3
133,aware,【形】気づいて（of，that節）,4
134,conscious,【形】気づいて（of，that節）；意識的な,4
135,liquid,【名】【形】液体（の）,4
136,solid,【形】固体の；固い；（構造などが）しっかりした 【名】固体,4
137,melt,【自】溶ける；和らぐ 【他】を溶かす,2
138,dirt,【名】泥；汚れ,2
139,mud,【名】泥,4
140,clay,【名】粘土,4
141,bacteria,【名】バクテリア；細菌（単数形 bacterium）,6
142,sense,【名】感覚；思慮；意識；意味 【他】を感じる,3
143,rough,【形】ざらざらした（⇔smooth）；おおよその；粗野な,4
144,approximately,【副】おおよそ,5
145,mild,【形】（程度などが）軽い；（食物が）まろやかな；（天候･気候が）穏やかな,4
146,gentle,【形】（人・動作・声が）優しい,3
147,smooth,【形】平らな；なめらかな（⇔rough）；順調な,3
148,surface,【名】表面；（the）外観,3
149,determine,【他】を決心する；を決定する,4
150,identify,【他】を特定する；の身元を確認する；を同一視する,5
151,pale,【形】（病気などで）青白い,3
152,state,【名】状態；国家；州 【他】を述べる,2
153,federal,【形】連邦の,6
154,sweat,【自】汗をかく 【名】汗,2
155,stress,【名】ストレス；圧力；強調 【他】を強調する,4
156,convenient,【形】（時間・場所・物が）便利な；都合のよい,3
157,though,【接】...にもかかわらず 【副】（通例文尾で）でも,3
158,discrimination,【名】差別；区別,6
159,bias,【名】偏見；先入観（against）,6
160,prejudice,【名】先入観；偏見（against）,6
161,stereotype,【名】固定観念,6
162,reason,【名】理由；道理；理性 【他】【自】推論する,2
163,logic,【名】論理（学）；必然性,6
164,rational,【形】理性的な；合理的な,6
165,past,【名】（the）過去 【形】過去の；ここ～（年月など）の 【前】を過ぎて,2
166,quite,【副】かなり（≒rather）；まったく（≒completely）,3
167,pretty,【副】かなり 【形】かわいらしい,3
168,expensive,【形】高価な,3
169,precious,【形】貴重な；（貴金属などが）高価な,2
170,cheap,【形】安い；安っぽい,2
171,rich,【形】裕福な；豊富な（in）,2
172,abundant,【形】豊富な,4
173,poor,【形】貧しい；粗末な；かわいそうな,2
174,afford,【他】（～を持てるだけの経済的）余裕がある；（機会など）を与える,5
175,wealthy,【形】裕福な；豊富な,4
176,servant,【名】召使い,5
177,slave,【名】奴隷；とりこ,4
178,master,【名】主人；名人 【他】（完全に）を習得する,2
179,dress,【他】に衣服を着せる 【名】ドレス；衣服,2
180,regard,【他】（regard A as B）AをBとみなす；を尊重する 【名】敬意；注意,4
181,symbol,【名】象徴；記号,3
182,power,【名】（権力、能力、エネルギーなどの）力；強国,2
183,dye,【名】染料 【自】【他】染まる〔染める〕,4
184,elegant,【形】優雅な；上品な,5
185,polite,【形】礼儀正しい；丁重な（⇔impolite）,2
186,rude,【形】無礼な；粗雑な,3
187,ancient,【形】古代の（⇔modern）；昔からの,2
188,coast,【名】沿岸；海岸,3
189,shore,【名】（海･湖･広い河川の）岸,4
190,bay,【名】入江；湾,3
191,Mediterranean,【形】地中海の,6
192,discover,【他】（偶然に）を発見する；に気づく,4
193,shell,【名】（貝）殻,4
194,unlike,【前】と異なって 【形】異なった,5
195,contact,【名】接触；連絡【他】と連絡をとる；と接触する,3
196,let,【他】（let A do）Ａが...するのを許す；Ａを...の状態にさせる,3
197,smell,【他】のにおいがする；のにおいをかぐ 【自】においを発する 【名】（しばしばよくない）におい,2
198,ocean,【名】（通例the）大洋,3
199,Atlantic,【形】大西洋の,5
200,Pacific,【形】太平洋の,5
201,island,【名】島,1
202,reef,【名】岩礁,4
203,effective,【形】効果的な,5
204,efficient,【形】効率的な,5
205,mask,【他】（事実・感情など）を隠す 【名】仮面,3
206,feeling,【名】感情；（漠然とした）感じ；感覚,2
207,claim,【他】を主張する；を要求する 【名】主張；要求,6
208,FALSE,【形】間違っている；うその,3
209,fake,【名】【形】偽物（の）,4
210,muscle,【名】筋肉,4
211,surround,【他】を囲む,4
212,cheek,【名】ほお,1
213,pull,【他】【自】引く；車を寄せる,1
214,lip,【名】唇,2
215,cosmetic,【形】化粧（用）の；美容（整形）の 【名】（通例複）化粧品,5
216,upward,【副】上に向かって 【形】上方への,4
217,forward,【副】前に；将来に向かって,3
218,perhaps,【副】ひょっとすると；（数値の前で）だいたい；...してはどうでしょう,3
219,less,【副】【形】（little の比較級）より少なく〔い〕,2
220,least,【名】【形】（little の最上級）最小〔少〕（の） 【副】最も～でない,2
221,temperature,【名】温度；体温,2
222,seem,【自】（...のように）思われる〔見える〕,3
223,describe,【他】を言い表す；を描く,3
224,respond,【自】反応する（to）；答える（to）,4
225,correspond,【自】合致する（with）；相当する（to）；文通する（with）,5
226,greet,【他】にあいさつをする；を出迎える,2
227,bow,【自】【名】おじぎ（する）,2
228,simple,【形】単純な；質素な,2
229,complicated,【形】複雑な,4
230,complex,【形】複雑な；複合的な,5
231,nerve,【名】神経；厚かましさ；勇気,3
232,neuron,【名】神経単位〔ニューロン〕,6
233,react,【自】反応する；反作用する,4
234,chemical,【名】（通例【複】）化学製品〔物質〕 【形】化学の；化学的な,3
235,rise,【名】上昇；増加 【自】上がる；起きる；出世する rose＞risen 【発】,2
236,climb,【自】【他】【名】登る（こと）,2
237,soar,【自】（数値などが）急上昇する；（空高く）舞い上がる,4
238,expression,【名】表現；表情,3
239,facial,【形】顔の,5
240,therefore,【副】したがって（≒thus，hence）,4
241,safety,【名】安全（性）,3
242,security,【名】安全；警備,4
243,danger,【名】危険；警備,2
244,endangered,【形】絶滅の危機に瀕した,6
245,threat,【名】脅威；脅迫,4
246,lock,【名】【他】錠（をかける）,3
247,police,【名】警察,4
248,farming,【名】農業,4
249,peasant,【名】（昔または発展途上国の）小作農,5
250,soil,【名】土（壌）；土地,4
251,probably,【副】おそらく,3
252,style,【名】型式；型；文体,3
253,protect,【他】を保護する（against，from）,3
254,defend,【自】【他】守る,3
255,prevent,【他】を防ぐ；を妨げる,3
256,agricultural,【形】農業の,5
257,license,【他】を認可する 【名】免許（証）,4
258,pass,【他】【自】合格する（⇔fail）；通過する 【他】を渡す（to） 【自】（時間が）経過する；（～として）通る（for）；亡くなる（away） 【名】入場〔通行〕許可（証）,3
259,quantity,【名】量（⇔quality）；多量,4
260,cost,【名】犠牲；費用 【他】（費用が）かかる；（犠牲）を払わせる cost＞cost,3
261,charge,【名】料金；責任；告発 【他】を請求する；（責任など）を負わせる；を告発する；を充電する,4
262,pollution,【名】汚染；公害,4
263,agree,"【他】...であることに同意する（that） 【自】同意する（to）；賛成する（on, with）；（体質などに）合う（with）",3
264,approve,【自】賛成〔同意〕する（of） 【他】（計画・考えなど）を（公に）承認〔認可〕する,4
265,nod,【自】うなずく 【名】うなずき；同意,4
266,price,【名】（品物の）値段；【複】物価；代償,3
267,fee,【名】（参加・入場の）料金；（専門職への）謝礼,4
268,fare,【名】（交通機関の）運賃,4
269,bill,【名】請求書；紙幣；法案,4
270,tax,【名】税（金）,4
271,budget,【名】予算；経費,5
272,pay,【他】を支払う；（注意など）を払う；に報いる 【自】代金を支払う（for）；割に合う 【名】給料,3
273,salary,【名】（月々の）給料,4
274,wage,【名】（肉体労働に対する）給料,4
275,owe,【他】に借金がある；に恩を受けている,6
276,debt,【名】借金（状態）,4
277,loan,【名】借金；ローン 【他】を貸し付ける,5
278,due,【形】払われるべき；（...する）はずで（to do）；到着予定で,4
279,mathematics,【名】数学,3
280,statistics,【名】統計（学）,6
281,rapidly,【副】速く；急激に,4
282,slow,【形】遅い；（時計が）遅れている 【自】速度を落とす 【他】を遅くする,3
283,Europe,【名】ヨーロッパ,3
284,north,【名】【形】北（部）（の）,3
285,south,【名】【形】南（部）（の）,3
286,industrial,【形】産業の,5
287,factory,【名】工場,3
288,lazy,【形】怠け者の；くつろいだ,3
289,revolution,【名】革命；回転,6
290,pioneer,【名】開拓者；先駆者,6
291,growth,【名】発展；成長,4
292,century,【名】世紀,3
293,mostly,【副】主に；たいていは,5
294,astronomy,【名】天文学,6
295,satellite,【名】（人工）衛星,6
296,launch,【他】（ロケットなど）を打ち上げる；（事業など）を開始する 【名】発射（≒shot）；開始,5
297,concept,【名】概念；発想；基本的な考え,6
298,notion,【名】考え；理解；意向,6
299,equation,【名】方程式；（the）同一視；均衡,6
300,equivalent,【形】同等の；相当する 【名】同等のもの,5
301,method,【名】方法,3
302,manner,【名】方法（of）；態度；【複】行儀；【複】風習,4
303,medium,【名】（伝達・表現の）手段；媒体（【複】media） 【形】中間の,5
304,unfortunately,【副】残念なことに；不幸にも,4
305,miserable,【形】惨めな,4
306,critical,【形】批判的な（of）；重大な；危機的な；批評の,5
307,attitude,【名】態度；考え方（toward）,4
308,turn,【自】【他】変わる 〔える〕；回転する〔させる〕；曲がる〔げる〕【名】回転；順番；変化,2
309,bend,【他】を曲げる 【自】曲がる；かがむ；屈服する bent＞bent,3
310,curve,【名】【自】曲線（を描く）,4
311,switch,【自】【他】（仕事・考えなどを）変える 【名】スイッチ；変化,4
312,basic,【形】基礎の（≒fundamental） 【名】【複】基礎知識,2
313,part,【名】部分（of）；役（割）；【複】地域,1
314,department,【名】部門；学科；《米》（D-）省；（百貨店などの）売り場,5
315,arrival,【名】到着,3
316,content,【名】中身；内容；【複】目次 【形】満足して,4
317,cell,【名】細胞；電池,5
318,tissue,【名】（動植物の細胞の）組織；ティッシュ（ペーパー）,5
319,human,【形】人間の；人情のある 【名】人間,3
320,humor,【名】ユーモア；機嫌,4
321,mankind,【名】（集合的に）人類,3
322,fisherman,【名】漁師；釣り人,4
323,glass,【名】ガラス；（a glass of ～）コップ１杯の～；【複】めがね,2
324,grass,【名】（牧）草,2
325,tube,【名】管；チューブ；（the）（ロンドンの）地下鉄,5
326,end,【名】端；（通例the）最後；終了；目的 【他】を終わらせる 【自】終わる,2
327,edge,【名】端；ふち；刃（先）,3
328,tip,【名】先（端）；チップ；秘訣,3
329,toward,【前】の方へ,2
330,alongside,【前】のそば〔横〕に（沿って）；と一緒に 【副】そばに,5
331,researcher,【名】研究者,5
332,scholar,【名】学者,6
333,variation,【名】変化；差異；変異,5
334,diverse,【形】さまざまな；異なった,5
335,particular,【形】特定の；特別の（≒specific）,4
336,suggest,【他】をそれとなく言う；を提案する（≒propose）；を推薦する（≒recommend）,4
337,hint,【名】ヒント；気配；（a hint of ～）少量の～ 【自】【他】それとなく言う,5
338,advise,に忠告〔助言〕する,4
339,pupil,【名】生徒；弟子；瞳,1
340,tongue,【名】舌；言語,2
341,chest,【名】胸；箱,2
342,lung,【名】肺,4
343,stomach,【名】胃；腹（部）,3
344,palm,【名】手のひら；ヤシ,3
345,thumb,【名】親指,2
346,knee,【名】ひざ,2
347,expert,【名】専門家；熟練者 【形】熟達した（≒skilled）,6
348,ratio,【名】割合；（２つの数量間の）比率,5
349,proportion,【名】割合；比率；つりあい；部分,5
350,completely,【副】完全に,4
351,total,【形】まったくの；総計の 【名】合計,3
352,utter,【他】（ため息・言葉）を発する；を述べる 【形】まったくの,5
353,immune,【形】免疫の〔がある〕；影響を受けない,6
354,virus,【名】ウイルス；病原体,4
355,infect,【他】（病気が）（人）に感染〔伝染〕する,6
356,rest,【名】（the）残り；休み 【自】休む 【他】（腕など）を置く,2
357,refresh,【他】（休息や飲食物などが）（人）を元気づける；（記憶）を蘇らせる,4
358,entirely,【副】まったく,3
359,absolutely,【副】まったく；（返事）まったくその通りだ；絶対に,4
360,slight,【形】わずかな,4
361,subtle,【形】（違いなどが）微妙な,6
362,enormous,【形】莫大な；巨大な,3
363,tremendous,【形】（数量・程度・強さなどが）ものすごい；素晴らしい,4
364,college,【名】（単科）大学,4
365,length,【名】（物や時間の）長さ,2
366,span,【名】（時間の）長さ；期間,6
367,meanwhile,【副】一方では；その間に,6
368,monitor,【名】（監視）モニター 【他】を監視する,3
369,exactly,【副】ちょうど；正確に,2
370,originally,【副】元来は；初めは,4
371,ancestor,【名】先祖,5
372,consider,【他】（consider A B）AをBとみなす；をよく考える,4
373,frequently,【副】頻繁に,4
374,certain,【形】（【名】の前で）ある特定の～；確かな,3
375,ensure,【他】を確実にする；を保証する,6
376,assure,【他】（人）に保証する；を安心させる,5
377,reassure,【他】を安心させる,6
378,guarantee,【他】を保証する 【名】保証,4
379,region,【名】地域（≒area）,2
380,geographical,【形】地理的な；地理学（上）の,4
381,list,【名】リスト〔一覧表〕 【他】をリスト〔一覧表〕にする,2
382,verb,【名】動詞,2
383,oral,【形】口頭での；口（内）の,4
384,linguistic,【形】言語（学）の,5
385,form,【名】形（態）；申込用紙 【他】を形作る 【自】形になる,2
386,casual,【形】何気ない；無頓着な；偶然の；臨時の,4
387,compound,【形】複合の 【名】混合物；化合物 【他】を悪化させる；を混合する,4
388,huge,【形】膨大な；巨大な,3
389,giant,【形】巨大な 【名】巨人；偉人,4
390,massive,【形】巨大な,5
391,technical,【形】専門の；技術的な,5
392,scientific,【形】科学の；科学的な,4
393,term,【名】（専門）用語；学期；任期；【複】条件；【複】間柄,3
394,semester,【名】（2学期制の）学期,4
395,finally,【副】とうとう；終わりにあたって,3
396,ultimate,【形】究極の；根本の（≒fundamental）,6
397,initial,【形】初めの 【名】頭文字,4
398,add,【他】を加える（A to B）,2
399,extra,【形】追加の；余分の,3
400,spare,【形】余分の；予備の 【名】予備 【他】（時間など）を割く；を省く；を惜しむ,4
401,create,【他】を創造する,3
402,constantly,【副】絶えず,4
403,nature,【名】性質；（物事の）本質；自然（界）,2
404,innate,【形】（能力・性格などが）先天的な,6
405,rainforest,【名】（熱帯）雨林,6
406,frustrate,【他】をいらいらさせる；を挫折させる,6
407,offer,【他】を提供する；を申し出る 【名】提供；申し出,2
408,superstition,【名】迷信,6
409,religion,【名】信仰；宗教,2
410,heaven,【名】天国,3
411,ethnic,【形】民族の；民族的な,6
412,folk,【形】民族の：民衆の 【名】（複数扱い）人々,4
413,tribe,【名】種族,4
414,ceremony,【名】（儀）式；礼儀,4
415,funeral,【名】葬式,4
416,belief,【名】信仰；信念；信頼,3
417,optimism,【名】楽観主義,6
418,medieval,【形】中世の,5
419,pure,【形】純粋な,3
420,refine,【他】を洗練する,6
421,spirit,【名】霊；魂；精神；気分；気力,3
422,soul,【名】魂；精神；真髄（≒essence）,3
423,ghost,【名】幽霊；幻影,4
424,celebration,【名】祝賀（会）；称賛,4
425,fortune,【名】運；運命；財産,3
426,destiny,【名】運命,4
427,luck,【名】（幸）運,4
428,married,【形】結婚している,3
429,marriage,【名】結婚,3
430,ring,【名】（指）輪；（ベル・鈴などの）音 【他】【自】鳴る〔鳴らす〕；電話をかける rang＞rung,3
431,wish,【他】【自】願う；...だといいと思う 【名】願い,3
432,pray,【自】【他】祈る,3
433,fertility,【名】多産；繁殖能力（のあること）；肥沃なこと,6
434,prosperity,【名】繁栄,6
435,flourish,【自】（文化などが）栄える；（植物が）繁茂する,6
436,ritual,【名】（宗教的）儀式；日常の習慣,6
437,reflect,【他】【自】反映する；反射する；よく考える,4
438,mirror,【名】鏡,3
439,contemporary,【形】現代の；同時代の 【名】同時代の人,6
440,incorporate,【他】を取り〔組み〕入れる（into）,6
441,combine,【他】を組み合わせる（A with B）；を兼ね備える 【自】組み合わさる；結合する（with）,4
442,integrate,【他】を統合する；を溶け込ませる 【自】統合する；溶け込む,6
443,value,【名】【複】価値観；価値；重要性； 【他】を尊重〔評価〕する,3
444,evaluate,【他】を評価する,6
445,treasure,【他】を大事にする 【名】宝物；貴重品,4
446,worth,【名】価値 【前】の価値がある,4
447,deserve,【他】に値する,5
448,realize,【他】を悟る；を実現する,3
449,perceive,【他】（特に視覚で）を理解〔知覚〕する,5
450,relieve,【他】を取り除く；を安心させる,6
451,skill,【名】技能；技術,4
452,jump,【自】跳ぶ；飛び上がる 【他】を跳び越える；を飛ばす 【名】跳ぶこと,1
453,leap,【自】跳ぶ 【名】跳躍；飛躍,4
454,bound,【自】跳ぶように走る；はずむ 【名】跳ぶこと；【複】限界 【形】束縛された；（乗り物などが）～行きの（for）,5
455,barrier,【名】障害（物）；防壁,4
456,obstacle,【名】障害（物）,4
457,block,【名】障害物；かたまり；区画 【他】をふさぐ；を妨害する,4
458,hurt,【他】にけがをさせる；の感情を害する 【自】痛む,3
459,offend,【他】の気分を害する 【自】罪を犯す,6
460,damage,【他】に損害を与える 【名】損害；損傷,4
461,wound,【他】を傷つける 【名】傷 / wounded＞wounded,4
462,insult,【他】を侮辱する 【名】侮辱（to）,5
463,social,【形】社会の；社交的な,3
464,interaction,【名】（人との）交流；相互作用,6
465,bite,【他】【自】【名】かむ（こと）/ bit＞bitten,2
466,angry,【形】怒って,2
467,mad,【形】怒っている；熱中して；ばかげた,3
468,annoy,【他】をいらいらさせる,4
469,irritate,【他】をいらいらさせる,5
470,order,【名】命令；注文；順番；秩序 【他】を命令する；を注文する,3
471,mess,【名】散らかっている状態,6
472,present,【形】現在の；出席して 【名】（the）現在；贈り物 【他】を提出〔発表〕する；を贈る,2
473,absent,【形】欠席して,3
474,space,【名】空間；場所；宇宙,2
475,release,【他】を放つ；を解放する；を公表する；（本など）を発売する 【名】放出；解放；発売,5
476,energy,【名】エネルギー（≒power）；活力,3
477,solar,【形】太陽の,5
478,nuclear,【形】原子力の；核（兵器）の,6
479,radiation,【名】放射（線）,6
480,mental,【形】精神的な；知能の,4
481,yell,【自】【他】大声で叫ぶ；エールを送る 【名】大声；エール,5
482,necessary,【形】必要な,3
483,doubtful,【形】（物事が）疑わしい；（人が）疑っている（of，about）,6
484,whether,【接】（...する）かどうか；...すべきかどうか（to do）；（whether A or B）AであろうとBであろうと,4
485,concern,【他】を心配させる ；に関係する【名】心配；関心；関係,4
486,sympathy,【名】思いやり；同情；共感,4
487,increasingly,【副】ますます（≒ more and more）,6
488,decrease,【自】減少する 【他】を減らす（≒reduce） 【名】減少,5
489,competitive,【形】競争の；競争力がある；競争心の強い,5
490,generally,【副】一般的に；大体,5
491,tend,【自】（...する）傾向がある（to do）,5
492,activity,【名】活動,3
493,passive,【形】受動的な,6
494,adult,【名】大人,3
495,childhood,【名】子供時代,3
496,infant,【名】（乳）幼児 【形】（乳）幼児（期）の,4
497,mature,【形】成熟〔長〕した 【自】成熟する,5
498,parental,【形】親の,6
499,harmony,【名】調和,4
500,friendship,【名】友人関係；友情,4
501,tune,【名】調和；曲 【他】を調和〔適応〕させる（to）；（通例 be -d）（番組・チャンネルなどに）合っている；を調律する,4
502,rhythm,【名】リズム,2
503,suitable,【形】適切な（for）,3
504,decent,【形】きちんとした；かなりの；親切な,4
505,purpose,【名】目的（of）,3
506,aim,【名】目的 【他】を目標にする；（物体など）を向ける 【自】目標とする；努力する（to do）；ねらう,3
507,destination,【名】（予定の）目的地,5
508,goal,【名】目標；ゴール,3
509,mission,【名】（特別）任務；使節（団）,4
510,proper,【形】適切な；（社会的に）正しい,4
511,estate,【名】（ある人のすべての）財産；（地方の，大きな館のある広大な）地所,6
512,environment,【名】（自然）環境,3
513,circumstance,【名】（通例【複】）状況；事情,4
514,ecological,【形】生態学の,6
515,ecosystem,【名】生態系,6
516,debate,【名】論争；議論 【自】【他】論争する；討論する,3
517,dispute,【名】討論；紛争 【他】を議論〔論争〕する；に反論する,5
518,controversy,【名】論争,5
519,invent,【他】を発明する；（話）をでっちあげる,3
520,similar,【形】似通った（to）,3
521,alike,【形】【副】同様の〔に〕,5
522,parallel,【形】類似の；平行な 【名】類似点 【副】平行に,5
523,resemble,【他】に似ている,5
524,stuff,【他】を詰め込む 【名】材料；題材,3
525,staff,【名】（集合的に）職員,4
526,version,【名】～版；意見；翻訳,5
527,set,【他】を設定する；を置く；を（ある状態に）する；を決める 【名】一揃い,3
528,involve,【他】を含む；を巻き込む；を没頭させる,5
529,belong,【自】所属している,3
530,hit,【他】【自】たたく；当たる；攻撃する；（災害などが）襲う 【名】ヒット；打撃,2
531,beat,【自】【他】たたく；打ち負かす（≒defeat） beat＞beat（en） 【名】たたくこと；鼓動,2
532,knock,【自】【他】（戸を）たたく；打つ 【名】ノック（の音）；打つこと,3
533,tap,【自】【他】【名】軽くたたく（音）,4
534,leather,【形】革製の 【名】（なめし）革；革製品,3
535,fur,【名】毛；毛皮,4
536,feather,【名】羽；羽毛,2
537,honor,【名】名誉；敬意 【他】に名誉を与える；を尊敬する,5
538,international,【形】国際的な；国家間の,5
539,emperor,【名】皇帝,6
540,empire,【名】帝国,6
541,kingdom,【名】王国；（通例the）～界,5
542,royal,【形】国王の；王立の,4
543,spread,【他】を広げる；を塗る 【自】広がる 【形】広がった 【名】広がり；普及,3
544,expand,【他】を拡大する 【自】広がる；膨張する,4
545,scatter,【他】をまき散らす 【自】分散する 【名】散布,4
546,prevail,"【自】普及する（in, among）；（提案・原理などが）打ち勝つ",6
547,accumulate,【他】【自】蓄積する,5
548,dense,【形】（人や物が）密集した；（霧などが）濃い,4
549,popularity,【名】人気；流行,5
550,possible,【形】あり得る；（事が）可能な,3
551,prospect,【名】見込み；期待；【複】将来性,6
552,British,【名】（the）イギリス人 【形】イギリス（人）の,3
553,violent,【形】暴力的な；激しい,4
554,fierce,【形】激しい；凶暴な,3
555,peaceful,【形】平和（的）な,3
